post_id,post
1,"Are there other women out there, my age 77 with severe depression and anxiety?"
2,"Hi everyone, I was googling ‘I am resigning from work tomorrow due to anxiety’ and found some of these forums. The support and empathy shown made me feel quite emotional. You are good people.I’ve worked with my boss for almost 10 years at different companies and we have had a good working relationship, but over the last year or so I feel like the current company (he owns this one), has lost its way. I don’t feel like I am morally aligned and I can no longer see the vision for the future. In addition, I’ve suffered from anxiety for 20 years but until the end of 2024, it had never impacted my work. In fact I was always so grateful that anything work related, my brain seemed to give me a break and back off! But now I am anxious almost daily. I have all the fun symptoms, racing heart, nausea, gagging in the morning, emotions all over the place and I have finally made the decision to listen to my body and give myself a break.But I am incredibly nervous that my resignation is not going to go down well at all.I actually feel a little better just from writing this down! If you have read this far, thank you and I hope you have a good night. Bluest_Light"
3,"Hello Everyone, As the title states, I'm looking for help/advice with driving. This is going to sound stupid but I'm in my 30s and I still don't have a driver's license or even learner's because of my anxiety. I have 2 fears regarding it: 1. I don't trust other people on the road, even if I do all the right things on my end it's not going to stop some random drunk driver from crashing into me. 2. I don't trust myself, I overthink things and have the fear I might crash and hurt/kill someone by accident. Mind you, I would never be the type to drive recklessly or be under the influence of anything. I'm the the type who would drive like a granny and be 'vanilla'...no offense to anyone here. I know I'm not the only one out there with this type of anxiety, but I feel frustrated with myself not being as independent as I like to be because I don't want to rely on others or the limited public transport in my area. I feel like I would have more freedom and it would be a big step in helping myself to get back on track with life."
4,"Hii always feel I am not good enough. The only way to have less of these feelings is not resting and instead doing something for career development etc. Because of this, I feel very guilty not doing anything for work even on the weekends, which also makes me feel exhausted. Also, I feel people think I am not capable of my current position at work and should not be doing it. Because of this, I have a huge anxiety that I may be let go soon. It is hard.. I wonder if there is anyone who can relate yourself. I am now a mid age. I want to enjoy life and blame less on myself. Would anyone like to share your experiences and how you have overcome these feelings if any?"
5,Hi and best wishes to everyone. I had been going along pretty well. About 4 weeks ago i had a very bad attack of shingles and it has lingered on and is still very painful . It is all starting to effect my mental health as i have missed doing things i normally do. Then i question myself am i being a bit of a sook is it really that bad. I just now its very painful at times and ive been put on medication for it that makes me tired . I really didnt need to have this happen. Best wishes to all. Beaser
6,"I took over a hair salon business when I was 24 years old I’m now 31.It started with myself, a close friend who was my business partner and 1 apprentice.i was the hairdresser my friend who I went into business was the Bookeeper.From day 1 it has not stopped with the challenges. My business partner was constantly taking money out aswelll as putting it back, i regularly voiced my concerns and it took me 2 years to finally have enough of the financial strain she put on me. I was already operating the floor, hiring staff, training them, doing clientele, working 44 hours with little to no lunch breaks. I decided to call the accountant to work out a buy out figure to which he told me he hasn’t done the books since we started. Turned out the tax and super that was being paid was straight to her personal account and got spent. I was in court for 3 years disputing it. First year into court, covid hit. Now I was fighting to keep the businesss I worked so very hard for. With lockdowns of a total of 9 months over 2 years without funding was stressful to say the least. I recently decided to put my business up for sale as my mental health has completely deteriorated the last 2 years, I was constantly getting sick, trying to still work and manage 4 employees that iv had since they where apprentices. 2 months into it being advertised and 2 months out from Christmas 2 of my employees handed there resignation in not for any bad reason other than it was time for them to explore a new direction. I was happy for them personally but on a Business level it left me with one hell of situation. It took me 5 years in total to train them up to fall apart in 2 months right before the madness. I’m worried I can’t keep fighting through all these obstacles that come my way with so little energy as it is. I’m having panic attacks during work, I’m run off my feet and I’m working more hours to cover the clients who where booked in with the 2 girls who are no longer here. I’m exhausted mentally and physically and I feel trapt till I can sell it. I’m having manic crying episodes nearly every night after work dreading each day that comes. I’m starting to loose control of my emotions within work and can’t hold back them tears. I can’t take time off now being so close to Xmas with only 2 partimers left and one being an apprentice.financially iv ran at a loss the last 2 years and the pressures are suffocating me.Any advice on how to manage the pressure and self care with little time to do so?!"
7,"Hi everyone,Not sure if this is the correct place to put this but I guess I’m quite overwhelmed about an upcoming psychological Independent Medical Examination appointment next Friday.I’m 25 (F) and recently lost my mother three weeks ago. She was diagnosed with terminal cancer in September 2026. Her diagnosis did coincide with a few challenging circumstances that exacerbated by stress levels. As such, I did express suicidal ideations. On the week leading up to her death, I also had two significant anxiety attacks at work (away from customers!). As of two weeks ago, my manager has stood me down from workUnbeknownst to my manager, the suicidal ideations had dissipated in November when the other circumstances improved. Except for the anxiety attacks and understandable sadness over my mother, I have been in a relatively good frame of mind.I have also been regularly engaging with the EAP services, my own psychologist (who is happy to provide a letter supporting my immediate return to work) and have been accepted into a postgraduate program. I certainly have a lot of support and clear on ideas on how I’m moving forward.I’m just apprehensive about this appointment, worried about the outcome and wondering if anyone had any advice or similar experiences.Rose."
8,"Hi there, I’ve been searching for a teacher platform to find responses and experiences from teachers, especially regarding the difficulties of mental health and being an educator. I had a contract at a school I instantly got attached to and really did not want to leave. I ended up not having another contract renewed for this year and it has been extremely hard to deal with. My question is, with joining another school with a whole new community of people and systems seeming pretty impossible, would it be awkward going into relief at the school I had the contract with. I am pretty young and fresh out of uni as well (I forgot to mention that before). I did have a lot of conversations with mentors and advisors to try and navigate the situation and I’m worried that advocating for my mental health and being vulnerable and honest has damaged my ‘image’ of being a ‘good teacher’ and candidate. I’m grateful for any strategies that I could use to take that first step back into teaching. Thank you fellow teachers and know that you have a person who truly recognises how daunting, heavy and anxiety inducing this profession is, even with all the love and passion we have for it."
9,"I have decided to join the forum to learn how you guys manage severe anxiety. I am going through a workers comp claim and finding I am getting confused about dates, months - when things happened, when they didn't. I have kept a diary but this only includes dates and remarks about appts, results etc. I thought I had clarity of mind starting out to remember pain issues, but as time goes on, the weeks and months are getting muddled leading to confusion in reports, which is hard for the insurance company and others to understand. I guess I am not as strong as I thought. One thing for sure, I can't do this on my own any more. I am tired and I can't come up with the answers to cover my errors. I like to be upfront with things and honest, but my mind does not seem to want to play that game at times. My psych is on holidays and I am really missing her. She is coming back in a couple of weeks. I scare myself with what I have quoted as happening, as I can see I am losing a grip on the situation. I have not verbalised this before to health professionals, but I feel from this point on I will need to. It is one thing to read psychiatric issues in a report, it is a whole different ball game to say yes, I have chronic depression and anxiety which I am being treated for and it is shadowing my version of reality. How frightening is this? Reading posts from other people with mental health issues, and what they have been through with WC claims is really touching and makes me feel very humble. Kisses to you all - I will close wishing you a happy pleasant week ahead, and I will now start reading thoughts from those who have walked the hard road ahead of me."
10,"Hi,I am looking for support with my heart/cardiac anxiety issues. I am 34 and this started a few years back, i started having sharp chest pains and heart palpitations. It started one night when i was falling asleep and this weird feeling woke me up and i was terrified and panicked that my heart felt weird, shrugged it off for a while and tried to ignore it and go back to sleep but this kept coming and going for weeks/months.. This led to feelings of numbness and tingling in my arms etc and chest pains and then anxiety wondering if it was my heart. I couldn't work out if it was my anxiety triggering the symptoms or the symptoms triggering my anxiety. i ended up going to hospital. they did bloods/ecg and i had an MRI and a heart monitor for 24hrs and went to a cardiac doctor.They all basically said that it was nothing to do with my heart and everything came back normal. The cardiac doctor laughed and said there is no way it could be my heart at my age and to stop worrying about it (i also have no risk factors at all, no family history, normal weight, no diabetes, no smoking, barely drink) After this reassurance i convinced myself it was just anxiety and gradually it became non existant for a few years. Well this last 6 months i've had it again out of nowhere... it comes and goes.. it started waking me at night when id start to fall asleep this weird feeling.. and id panic it was my heart again. Then the little chest pains would start up and the anxiety would follow and id start googling and everything says heart attack symptoms. So then every little symptom id start to worry again.I have been back to the doctor a month ago who listened to my heart and did an ecg and came back normal again (but these ecgs are always done when im not experiening the pain or palpitations at that time)So i dont know if its the anxiety creeping up again and just creating these symptoms. I try to keep calm and tell myself to stop worrying because if i start worrying the symptoms get worse. Does anyone have similar? I do things to take my mind off it and it does work sometimes but other times it doesn't and i feel something is wrong and im going to die eventually from heart attack or something. Has anyone had these symptoms and it actually be heart related or is it just the anxiety creating the physical symptoms? Any words of advice would be appreciated"
11,"I hurt my lumbar/SI joint 4 weeks ago. It's improving so slowly I can't work, I can't sleep and I am exhausted. I just don't know what to do. I should be healed by now, or at least able to push through it. I feel so useless. I wonder how much is my brain protecting me and how much is physiological pain and why can't I get my brain to stop being so stupid."
12,"Past year till this day… I have been dealing a lot with my family & work stuff. I thought I had it all under control which I doubt now I searched & searched & searched endlessly for what’s anxiety or depression like No, I’m not sure if I have one or the other! No, I have not consult the GP as I’m not sure what to say I’m not sure if I’m just plain sick from not looking after myself well or it’s really the stress! Does Vitamin B Complex really help with managing stress?? I started taking it almost a month now but I still feel the same like before taking it - gut punching, hands shaking, diarrhoea in the morning & headache, sleepy, easily annoyed during midday & worst - hard to fall asleep at night Anyone feel the same…??? Or, is it just the way it is when you get older???"
