post_id,post
1,"By all accounts I should be happy with my life, good job good friends, a range of hobbies. However I feel empty, like a part of my brain can’t experience true joy. I cry often at the smallest things and find myself afraid of disappointing/being seen as useless to those around me because I should be thankful for the life I have so I pretend and mask and appear very capable at work and in society but feel dead on the inside. I struggle to find joy in hobbies I once pursued with so much passion and turn down hangouts with friends and family. Nothing sparks joy for me and I often feel this void. I look back at who I was 2-3 years ago and burst into tears because I can no longer see that person in me."
2,"I’m confused about a person suffering the spiral of depression. they’re good one minute then absent the next. They go no contact for days at a time and won’t respond to messages checking in, sometimes they blame me for their behaviour. This last episode has lasted almost 4 weeks and while I’ve been supportive for months, this last episode feels a little more than I can take. To be clear we were in a relationship, they probably still think we are but I’ve mentally and emotionally checked out. I feel bad about this and I’m angry, upset and hurt. I feel like a ping pong ball, never really sure what any second will bring and I’m exhausted. I’ve tried to be supportive, reached out for help in their roughest days but they’re reluctant to seek help but keep pushing me away. They keep telling me they love me but then leave me hanging like I’m a convenience and I can’t keep doing this. I want to be supportive, maybe even feel obligated, definitely feel like I have a duty of care but it’s pulling me down being treated this way. I’m struggling with feeling like I need to step away but not wanting to be yet another person who’s abandoned them. They’re also not very good at opening up, instead holding things close to their chests which makes me feel like I don’t really know them. It’s a confusing place to be. I don’t know where to turn or what to do just that I can’t keep going in what feels like this cruel cycle. I’ve experienced mental health issues in my lifetime but I’m at a loss with this situation.any advice or words of wisdom would be greatly appreciated."
3,"Hi everyone, The last few months have been somewhat confusing as I have discovered more about my mental / physical health and how it has all been connected. I had not put the pieces together, I am not sure why, it seems so obvious now. I have dealt with Dysthymia since about 12 and Major Depression since about 14 but was not diagnosed until my 40s and had no idea that had been the problem all along. I knew I wasn't like everyone else but thought I was just born that way. Back then mental health was not a subject that was openly discussed and the signs mostly went unrecognised and untreated. I had about 10 years of talk therapy with a social worker that helped immensely. I have had a sensitive digestive system for a good portion of my life, not so much that I sought treatment, just things like indigestion with certain foods, bloating and the like. I suppose I thought everyone had those types of issues. I have also had nervous system reactions over the past 15 years, like involuntary shaking in certain situations, that I had put down to getting older and being less resilient having been through a lot of difficult challenges. I have been seeing a psychotherapist who also does somatic work (turns out you were right mmmekitty, I did need some more help). The first session of somatic work, in this case EFT (tapping), brought up a deep and long standing belief that I did not deserve to be helped. The emotions were buried so deep that I was not even aware of them. After that session things went haywire physically for a few days and took some weeks to start to settle. Being the type of person who needs to have an understanding of what is happening and why, I have been reading many books on the symptoms I have had. That is when I began to join the dots about how interconnected by mental and physical health actually were. It has required a lot of processing on my part, and an acknowledgement of what I have been consciously unaware of, but it has been necessary to finding a way forward. This will be an ongoing journey as new symptoms show up that need to be looked at. I know now that there is a lot of unreleased trauma in my body that is a contributing factor in not healing mentally or physically and I know now what needs to be done to improve. There is only so much that the medical profession can do, I believe the rest of the responsibility lies with us in digging deeper to find the causes and the answers. In many ways, that in itself becomes empowering. Take care all.indigo"
4,"Hi all, I am 16 years old and recently while taking a trip down memory lane I experienced this overwhelming amount of nostalgia for my past, especially childhood experiences, and was hit with this crushing wave of grief and just couldn't stop crying. I find myself to be quite a nostalgic person and instead of feeling warm and happy about my experiences so far in life, I find myself often feeling really freaking depressed. It kind of all came at once and made me reflect on how nice it was to feel so happy about the littlest of things and the good experiences i had with so many people. I thought of people who had passed, old relationships with family members who have now become strained, a bunch of things I just did occasionally throughout my childhood and how dreamlike and nice it all felt. Like I just remember everything feeling so adventurous and fun all the time, like literally pouring water on rocks at my grandma's old house was seen as a special event. Now currently, my life is going somewhat wrong in so many ways. My relationships with many family members feel strained because I feel like everyone hates me and we barely talk, I don't get much joy out of interacting with my friends, and the whole world kind of feels pretty gloomy rn with so much hate and slop out there. All my hobbies are solitary. There's a long list of other stuff but in short, nothing feels good anymore, just kind of bland and unfulfilling in every way. I have days where I just feel really sad and that my life is wasting away. That being said, I'm constantly trying to improve my circumstances, meeting new people, being more sociable, trying new things ect, as well as kind of doing certain things I used to do during childhood just for fun and to get a kick out of it again. But it feels like no matter what I do, nothing ever changes and for like a few years now it has just been getting worse and worse, like I never feel truly happy ever. Ik it's probably cause I'm romanticising the past or smth but like that realisation doesn't make anything better. I have moments where I literally just hope that reincarnation is real just to experience it all again, and that after I die I'll be happy with everyone again (also I DO NOT want to die, just in case this gives off a bad vibe). Now looking to the future, I just don't see anything stacking up to that. Like i could find a partner, raise kids, travel the world, but I feel like I would trade all of that for a week just to go back to my childhood doing stuff with my parents and having fun with little things and that it's all just a downward spiral from here. My whole family before me will die over time, I'll lose contact with so many people, I don't see any partners or future friends being able to make me feel better, and to top it off I'll slowly get older and weaker and more senile as time goes on, going out with a whimper. Maybe it's because I'm at an awkward phase of life right now, maybe later on moving out and building my own world will make me feel fulfilled again, but for now I just feel like it's probably just all downhill from here. Is there anyway to cope with these feelings of nostalgic grief, does life become cooler later, and is there any advice on how to actually feel fulfilled in the present again?"
5,After ten years of giving everything to one organisation I have learned the hardest lesson of my professional life. I am sharing this anonymously to warn others who still believe in the gentleman's agreement.Before I realised I was being pushed out the company made it a priority for me to finish all my documentation and procedures as a key part of my KPIs. I was titled as a supervisor but every peer confirmed I was performing the role of a manager. Keeping me in the lower position allowed the company to keep my pay at the award minimum while extracting maximum value from my knowledge. I was happy to support my colleagues but when pressure was placed on me I was met with silence. People were afraid that if they spoke up they would be targeted as well. It left me feeling angry and entirely alone.I reached a point where my mental health was failing and my family needed me as we faced a serious crisis with my teenager. When I went on stress leave the company was fully aware of the situation. I thought a decade of service would earn me basic human decency but I was met with hostility and treated as if my struggle was a fabrication. I was micromanaged to the point of breaking. In boardroom meetings I was isolated while my support person was made to sit at the far end of the room. A manager told me I did not care about the company while I was at my lowest. They denied my holiday leave and tried to withhold my long service leave until I proved every medical appointment date.The most painful part was watching my own systems and reports being used by others to get promotions while I was being discarded. I saw my work presented by people who took all the credit and I realised my documentation was simply being repurposed. They found me at my most vulnerable and pressured me until I signed a settlement. My lips are now legally sealed so I cannot fight back because the costs of a lawyer are too high.Now I have been out of work for over a month and the depression is heavy. It is hard to feel like the man of the house when you have been pushed out after ten years of loyalty. My advice is simple. Document everything. There is no such thing as a handshake agreement in a corporate environment. If it is not in writing it does not exist. Do not sacrifice your family or health for an organisation that views your vulnerability as a weakness to be exploited. I am just trying to find the patience and the strength to keep going and be the example my family deserves.
6,So I have never done something like this before but it’s go to the point i need to express myself. Life feels so like hell everyday waking up same stuff different day I try everyday to upcome muself and achieve different stuff but I just can’t my head races everyday. I just think ok life is on repeat till the day I go .. it’s tiering I have no friends I’m a young female so not having a girl-friend to talk about things to need to I can’t.. it hurts but I blame myself over all these years of college high school primary I’m the reason I have no one.. my mental health always makes everyone leave left with no one.. if only I did not get mistreated at such a young age maybe Just maybe I would be different and successful..
7,Been away a while and I dont know where I been. But my life views have changed dramatically. Depression sufferers are amongst the toughest breeds mankind has ever seen. The sheer weight we carry and still survive somehow is remarkable. Its sad we have no strength to communicate this but I am bound with my brothers and sisters for life as we struggle for survival together. Yes I have seen death felt it lived it but I see the beauty in my brothers and sisters and if I could I would protect you all. Yes my tone has changed as I have relived my hippie days during treatment. A long lost part of me that has been buried for decades. A hidden aggressive non violent protest for change that I was lost in 40 years ago at the beat if Bob Dylan Neil young at the time of Laurel Canyon and Woodstock. But I had to die first to get there and lose my mind on the way which was frightening to my core. They tried to silence the hippie for what reason. They exercised brotherly love and care for mother earth and natural lifestyles. Their non conformity towards the way things were going in the 60 70s was about LOVE and PEACE. And you stamped him out. Why? Why would you do that. Manson was never a hippie so dont blame hippies. So I live in this world eons away from the beauty I was once involved in. Not being able to tell you here where I go twice a week at hospital is a crime and yes I am anti establishment but not wrecklessly indifferent to things that make society run. My treatment is out there and I cant tell you. Thats crazy to the enlightened person because people need information but instead are bombarded by misinformation lies scams gag orders and integrity has become almost a mythical idea from a long lost time. And all this does matter. Its our health we fight daily for and it doesnt come cheap and without effort. Respect to all my brothers and sisters and let your freak flag fly and above all peace in our suffering
8,"I have been a teacher for 19 years and this is the worst year of my career so far. I’ve got 3 students in my Prep class that constantly reek havoc and I’mnot receiving enough support to manage them. Each day they are taking my things, engaging in dangerous play (jumping off tables, running around the classroom) hitting me or other people, screaming and swearing and I’m in a constant stress state. I feel so down about it all. This evening I snapped at my own son because of the emotional fatigue. I quit drinking 2 years ago and will not return to it, I exercise most days, I eat salads and fruit smoothies everyday, I get my 8 hrs of sleep and meditate everyday. I’m trying so hard to protect my mental health but am constantly miserable. I don’t see quitting as an option but not sure how I’m going to sustain this for a year."
9,"my depression has been recently active and I'm finding it hard to get myself motivated. I'm on medication and I am taking my medication every day , I'm under a lot of stress and my husband has depression and anxiety to. I'm just struggling to cope at the moment"
10,"Hi everyone,I’ve been reading through the posts here, and it helps to know I’m not the only one feeling this way. I wanted to see if anyone else relates to a specific feeling I’ve been having lately.I call it the ""functional freeze.""On the outside, I look like I’m coping. I manage to get up, go to work, and maybe even reply to a few texts. But internally, I feel completely paralyzed. The moment I don't have to do something, I just freeze.I’ll sit on the couch and stare at the wall for an hour, or I'll know I need to make dinner or have a shower, but the physical effort required just feels like trying to run underwater. I’m exhausted, but I haven't actually done anything. It’s so frustrating because people around me think I’m doing fine, but they don't see the massive amount of energy it takes just to appear normal.Does anyone else get stuck in this freeze state? If you do, how do you usually break out of it, or do you just have to wait for it to pass?I’m really struggling to push through it this week. Any advice or just knowing others get it would be really comforting.Thanks for listening."
11,"Hi BBers, Tonight I am feeling lots of big feelings. I have changed medication recently, so that is probably why. But also, stuff happening in my relationships, family, work life and friendships. I am not great at actually feeling my feelings, or expressing them. It scares me. My brain starts telling me I am stupid. It is like I don't trust myself. Looking for advice and reassurance?"
12,"Hi everyone,I have had depression since my teens, I’m close to 40 now. I have two small children now and I’m finding that these years are some of the hardest I’ve experienced. They’re not babies (4 & 7) so they’re not oblivious to my ups and downs anymore. But they’re not old enough to understand that mummy sometimes struggles.The self care that worked before kids, or self cocooning through the worst days just doesn’t fly when you have kids constantly going “mum mum mum”.I would love a practical “dummy’s guide to parenting when you have depression”. Or a resource that I could use. I find it hard to manage my own mental health and be a good parent."
13,"I definitely have scoliosis and people from school often talk about it. I can't even walk or stand properly. My posture is messed up. I do at least an hour of walking most days, so I do exercise (though I don't do many other exercises other than a bit of tennis and sometimes swimming. I try to do a bit of running, but I feel self-conscious when I do so). I told my Dad and he said that it probably doesn't matter unless it hurts and I said that my back occasionally hurts a bit and it can get worse if it doesn't get fixed and he said, ""But where can we go about it?"" I said we could go to a (can't remember what they are called right now). He replied, ""Would that help though?"" I said it's better than not doing anything and he just said ""Hmm"" and walked off. (He does this a lot). I told my Mum about it and she said, ""But if we went to one of those places, wouldn't they just tell you to stand better?"" I said that I didn't know because we never tried going to one of those places and then she walked off. (They're both very dismissive). I went to a massage place because I had problems with my back and the lady said to my Mum that it's a pity that I never went to a *scoliosis place* when I was younger. Even my older sister said to my parents that she was quite annoyed with them for never taking me to one of those places. She even told me that if our parents didn't pay for me to see them, that she'd be happy to pay for it. I may not get along with her often, but she's very generous! So is my younger sister. I recently found out that I probably have a thyroid problem because I have so many health problems that can be related to it (walking funny, voice problems, skin problems, digestive problems, cracks on heels of feet, etc.) Google even says that psychosis can be related (I have paranoid schizophrenia and I never want to have an episode again because they are the worst thing that's ever happened to me). I don't know how to get help for this either though because my parents don't take it seriously. My doctor thinks I don't because of my blood test result, but blood tests aren't always accurate for thyroid problems. My hormones also sound really out of wack based on what it said, but my doctors said they were fine. I'm not a doctor, but it was something like 98 - T and 1.10 - E?? Even if I was ovulating, that doesn't sound right to me?"
14,"Hey,I’m a teenager in high school and I’m not really sure what to do. I’ve been feeling off recently. Kinda sad and depressed. I’ve never been officially diagnosed but I’m fairly sure I have some kind of depression. I want to get help from someone and I don’t really have that kind of relationship with anybody since I’m a bit closed off from others and not that sociable. I’m just not really sure what to do. I have my life planned out the way I want to continue it and I know I have potential, but I’m lacking motivation in anything recently. I will be honest and I have thought of self-harm a lot more times than one but I don’t really want to do it. I just want to find a way to continue my life without going through a constant loop because I feel like it’s just getting worse.. I’m posting this because I feel like it might make help me expressing how I really feel somewhere. Any tips for how I can ask for help?"
15,"I've never posted on here before - sorry if this is too long. I'm lonely. I live on a very isolated property with my partner. We moved here 6+ hours away from anyone we knew a few years ago. The small community around us are quite a lot older than me (40-50 years older) or very young with children. I don't have children and have found that my friendships with these people fizzle out or there is less time for me in their lives because they involve themselves with other parents etc. which makes total sense. My partner works out of the house for 12+ hours a day. I am alone all day and rarely see friends and family in person. I was able to socialise with a small group of people at work but I lost my job and those people (""friends"") never contacted me again. I've been working very hard on making myself available and communicating strongly though social media etc. to be able to keep connections alive with people in my life - however, I'm finding that everyone (including my partner) are too busy to reply to me. My family is narcissistic and will only speak to me to complain about their lives, I've tried to foster a meaningful connection but they have their own problems. My partner is busy at work and I often won't hear from them all day until 5/6pm. My texts or an interesting video that I'll send go unanswered even though I can see they're active. My friends all have other friends that are physically part of their daily lives so it makes sense that I'm the last one they get back to but all the same, I'm very very very lonely. All I've ever wanted was connection after a childhood of neglect. A lot of advice says to look into myself and be better friends with myself, find hobbies etc but I've done that - it's all I do - what I'm craving is connection with other people and it can't be filled with a substitute hobby. I feel so tired and heavy all the time and just thinking about how lonely I am and how I can't seem to be able to fix it puts a weight on my chest.Has anyone been in this situation and found a solution?"
16,"hey, i am really struggling right now, it's so hard to explain to make it understandable. i guess the hardest things just keep happening to me. like first, i had to make the hardest decision of putting down my baby boy (cat) almost 2 years ago. one of the hardest things ever. basically, since then, my mental health got worse and worse. my dad was involved in a car accident several months after, and nearly lost him. he's alive and doing well now, but stuff really went down for my family since that day. about a few weeks after he arrived back home (so roughly under a month after his accident) we had to put his cat down, after a sudden heart failure accrued. a few months later, his dog died. we knew she wasn't well and the hardest thing was, we couldn't support that. then i was having a hard time with my boyfriend, as he was manipulative, controlling, and just so many other things that made it harder. he was my first relationship (primary school personally, doesn't count) he would try change me to become what his needs were like... 1. becoming christian 2. change my personality and there's so much around this i don't need to get into. but we hate him, we hate the whole situation! anyway, let's just move onto the present. my mum's dog has be diagnosed with a disease, and we have to make a decision. my ex and i have been in another situationship. ive been distant from my best friend because.. 1. my mental health is really bad 2. shes not the same 3. im js starting to see her differently (don't know how/why) im overwhelmed with school. im overwhelmed with dance. im struggling to feel put. i dont have a job. i dont have money. i dont have a licence. i dont have a clear head. i dont stick to any routine. but i really need one. im so lost. im so tired. i want it to end. but ive lost so much hope. (im so sorry for the huge as yap)"
17,I feel like a failure because I should have my life figured out by now but I don’t. I feel like I’m failing uni because I’m so behind everyone in my cohort and not sure if I’ll even complete my degree because my confidence has been shaken and my life tipped outside down. I feel like I’ve taken a step backwards in not being able to get out of bed or do grocery shopping or get out of the house. I cancelled two appointments with my psych due to experiencing depression and not being able to leave the house on those days and now I’m back on the waitlist. I regret my decision to cancel now.In this moment I don’t feel like I will experience joy again. I feel so isolated and alone. I don’t feel like anyone truely understands what I’m going through and how difficult it is to keep on going. I find it hard to confide in others because I feel like a burden. I tend to mask how I truely feel around others because it’s easier to say “I’m ok”rather than be honest and say that “I’m not ok”. To this end I’ve been avoiding seeing people which is not the norm for me even though I know it would be good that I do… i just find it really hard to explain how I’m going and have small talk. I’d love to hear from anyone who has experienced anything similar so that I feel less alone. 🫶
18,"Hello people of this forum. It’s been a while since I posted here. I’ve been severely distressed and searching down other avenues and such, trying to find a way out of this debilitating mental pain. My unwavering fear of death has kept me from suicide, comedic in a dark way being too cowardly to take “the cowards way out”. But outside of the grim and hopeless the only option shown to me is getting some sort of counsellor. But I’ll be frank. That is such a huge mental gulf that it just feels impossible without help, and even with assistance it feels too far out of reach. nobody in my family has enough expendable funds for me to claim I need it. Even then, I’m sure you’d call me stupid for saying this but it’s so deeply rooted in my subconscious that I’m steadfast in this belief. I’m don’t feel like I’m worth all that time, that effort to repair. I’ve fallen apart before and each time after picking up my pieces I just fall apart again. Things don’t get better just… Back to the status quo. I’ll never learn or break away from my restrictions so why even pick up the sand like shards of my mind and heart? the people who’ve taken up the task of performing litter cleanup on my soul with me have all left me. because I assume they too know it’s futile. So why should I be so bold as to claim their efforts were too shoddy and that’s why I’m not healed? I’m right where I deserve to be. I’ve made my bed and now I’ll lay in it till the frame rots. so… I’m not sure what to do. I hate feeling like this. But I won’t pull myself out, it’s under my belief that this is my sentencing for my transgressions in life. I have nobody in my life that seems to care enough to disprove me anyway. I have no friends and my family has been spending more time judging me it seems. I don’t know. Nobody checks on me anymore. It’s like I’m not even here sometimes. I know nobody outside these walls is thinking about me right now for example. I feel translucent. I’m doomed aren’t I? This is unsolvable, I’m just meant to suffer for now till the non-existent future. I’m sorry reader if this has been a confusing journey. I can’t control the spiral, if you felt this was a waste of your time I hope your day gets better than what it could be."
19,"Hey, I've been battling anxiety for around 6 years which turned into having chronic depression with episodes lasting weeks to months at a time but to be honest it feels like I've been stuck in a depressing episode for years. It's got to the point where it's like finding a needles in a haystack for my good days, I honestly can't remember the last happy day I had. My therapist helps when I see him but as soon as I leave and the day progresses my depression comes back, the thing is I have nothing to be depressed about. My darkest days are clouded with thoughts of suicide, my therapist says that I am strong and that I need to find stuff that motivates me but I have not motivation and my negative mind calls myself a coward. I know that I will never do it but I can't see a future for myself like this. One days"
